#separator:comma
#html:true
#notetype:Basic
#deck:Spanish::02 Pretérito perfecto simple
#columns:Front,Back,Tags
#tags column:3
"Endings at a glance:<br><i>Pretérito perfecto simple</i>","<b>-ar</b>: é · aste · ó · amos · asteis · aron<br><b>-er / -ir</b>: í · iste · ió · imos · isteis · ieron<br><b>Strong (irregular stem)</b>: e · iste · o · imos · isteis · ieron — <b>no accents</b>","preterito-indefinido endings"
"<b>you all felt</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>sentisteis</b><br><span style='font-size:85%'>sentir — to feel · vosotros</span>","preterito-indefinido irregular en-es"
"<b>sintieron</b><br><i>Pretérito perfecto simple</i>","<b>they felt</b><br><span style='font-size:85%'>sentir — to feel · ellos/ellas/ustedes</span>","preterito-indefinido irregular es-en"
"<b>they felt</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>sintieron</b><br><span style='font-size:85%'>sentir — to feel · ellos/ellas/ustedes</span>","preterito-indefinido irregular en-es"
"<b>morí</b><br><i>Pretérito perfecto simple</i>","<b>I died</b><br><span style='font-size:85%'>morir — to die · yo</span>","preterito-indefinido irregular es-en"
"<b>I died</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>morí</b><br><span style='font-size:85%'>morir — to die · yo</span>","preterito-indefinido irregular en-es"
"<b>moriste</b><br><i>Pretérito perfecto simple</i>","<b>you died</b><br><span style='font-size:85%'>morir — to die · tú</span>","preterito-indefinido irregular es-en"
"<b>you died</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>moriste</b><br><span style='font-size:85%'>morir — to die · tú</span>","preterito-indefinido irregular en-es"
"<b>murió</b><br><i>Pretérito perfecto simple</i>","<b>he/she died</b><br><span style='font-size:85%'>morir — to die · él/ella/usted</span>","preterito-indefinido irregular es-en"
"<b>he/she died</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>murió</b><br><span style='font-size:85%'>morir — to die · él/ella/usted</span>","preterito-indefinido irregular en-es"
"<b>morimos</b><br><i>Pretérito perfecto simple</i>","<b>we died</b><br><span style='font-size:85%'>morir — to die · nosotros</span>","preterito-indefinido irregular es-en"
"<b>we died</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>morimos</b><br><span style='font-size:85%'>morir — to die · nosotros</span>","preterito-indefinido irregular en-es"
"<b>moristeis</b><br><i>Pretérito perfecto simple</i>","<b>you all died</b><br><span style='font-size:85%'>morir — to die · vosotros</span>","preterito-indefinido irregular es-en"
"<b>you all died</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>moristeis</b><br><span style='font-size:85%'>morir — to die · vosotros</span>","preterito-indefinido irregular en-es"
"<b>murieron</b><br><i>Pretérito perfecto simple</i>","<b>they died</b><br><span style='font-size:85%'>morir — to die · ellos/ellas/ustedes</span>","preterito-indefinido irregular es-en"
"<b>they died</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>murieron</b><br><span style='font-size:85%'>morir — to die · ellos/ellas/ustedes</span>","preterito-indefinido irregular en-es"
"<b>leí</b><br><i>Pretérito perfecto simple</i>","<b>I read</b><br><span style='font-size:85%'>leer — to read (past tense is pronounced 'red') · yo</span>","preterito-indefinido irregular es-en"
"<b>I read</b><br><span style='font-size:80%'>[past tense is pronounced 'red']</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>leí</b><br><span style='font-size:85%'>leer — to read (past tense is pronounced 'red') · yo</span>","preterito-indefinido irregular en-es"
"<b>leíste</b><br><i>Pretérito perfecto simple</i>","<b>you read</b><br><span style='font-size:85%'>leer — to read (past tense is pronounced 'red') · tú</span>","preterito-indefinido irregular es-en"
"<b>you read</b><br><span style='font-size:80%'>[past tense is pronounced 'red']</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>leíste</b><br><span style='font-size:85%'>leer — to read (past tense is pronounced 'red') · tú</span>","preterito-indefinido irregular en-es"
"<b>leyó</b><br><i>Pretérito perfecto simple</i>","<b>he/she read</b><br><span style='font-size:85%'>leer — to read (past tense is pronounced 'red') · él/ella/usted</span>","preterito-indefinido irregular es-en"
"<b>he/she read</b><br><span style='font-size:80%'>[past tense is pronounced 'red']</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>leyó</b><br><span style='font-size:85%'>leer — to read (past tense is pronounced 'red') · él/ella/usted</span>","preterito-indefinido irregular en-es"
"<b>leímos</b><br><i>Pretérito perfecto simple</i>","<b>we read</b><br><span style='font-size:85%'>leer — to read (past tense is pronounced 'red') · nosotros</span>","preterito-indefinido irregular es-en"
"<b>we read</b><br><span style='font-size:80%'>[past tense is pronounced 'red']</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>leímos</b><br><span style='font-size:85%'>leer — to read (past tense is pronounced 'red') · nosotros</span>","preterito-indefinido irregular en-es"
"<b>leísteis</b><br><i>Pretérito perfecto simple</i>","<b>you all read</b><br><span style='font-size:85%'>leer — to read (past tense is pronounced 'red') · vosotros</span>","preterito-indefinido irregular es-en"
"<b>you all read</b><br><span style='font-size:80%'>[past tense is pronounced 'red']</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>leísteis</b><br><span style='font-size:85%'>leer — to read (past tense is pronounced 'red') · vosotros</span>","preterito-indefinido irregular en-es"
"<b>leyeron</b><br><i>Pretérito perfecto simple</i>","<b>they read</b><br><span style='font-size:85%'>leer — to read (past tense is pronounced 'red') · ellos/ellas/ustedes</span>","preterito-indefinido irregular es-en"
"<b>they read</b><br><span style='font-size:80%'>[past tense is pronounced 'red']</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>leyeron</b><br><span style='font-size:85%'>leer — to read (past tense is pronounced 'red') · ellos/ellas/ustedes</span>","preterito-indefinido irregular en-es"
"<b>oí</b><br><i>Pretérito perfecto simple</i>","<b>I heard</b><br><span style='font-size:85%'>oír — to hear · yo</span>","preterito-indefinido irregular es-en"
"<b>I heard</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>oí</b><br><span style='font-size:85%'>oír — to hear · yo</span>","preterito-indefinido irregular en-es"
"<b>oíste</b><br><i>Pretérito perfecto simple</i>","<b>you heard</b><br><span style='font-size:85%'>oír — to hear · tú</span>","preterito-indefinido irregular es-en"
"<b>you heard</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>oíste</b><br><span style='font-size:85%'>oír — to hear · tú</span>","preterito-indefinido irregular en-es"
"<b>oyó</b><br><i>Pretérito perfecto simple</i>","<b>he/she heard</b><br><span style='font-size:85%'>oír — to hear · él/ella/usted</span>","preterito-indefinido irregular es-en"
"<b>he/she heard</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>oyó</b><br><span style='font-size:85%'>oír — to hear · él/ella/usted</span>","preterito-indefinido irregular en-es"
"<b>oímos</b><br><i>Pretérito perfecto simple</i>","<b>we heard</b><br><span style='font-size:85%'>oír — to hear · nosotros</span>","preterito-indefinido irregular es-en"
"<b>we heard</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>oímos</b><br><span style='font-size:85%'>oír — to hear · nosotros</span>","preterito-indefinido irregular en-es"
"<b>oísteis</b><br><i>Pretérito perfecto simple</i>","<b>you all heard</b><br><span style='font-size:85%'>oír — to hear · vosotros</span>","preterito-indefinido irregular es-en"
"<b>you all heard</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>oísteis</b><br><span style='font-size:85%'>oír — to hear · vosotros</span>","preterito-indefinido irregular en-es"
"<b>oyeron</b><br><i>Pretérito perfecto simple</i>","<b>they heard</b><br><span style='font-size:85%'>oír — to hear · ellos/ellas/ustedes</span>","preterito-indefinido irregular es-en"
"<b>they heard</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>oyeron</b><br><span style='font-size:85%'>oír — to hear · ellos/ellas/ustedes</span>","preterito-indefinido irregular en-es"
"<b>caí</b><br><i>Pretérito perfecto simple</i>","<b>I fell</b><br><span style='font-size:85%'>caer — to fall · yo</span>","preterito-indefinido irregular es-en"
"<b>I fell</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>caí</b><br><span style='font-size:85%'>caer — to fall · yo</span>","preterito-indefinido irregular en-es"
"<b>caíste</b><br><i>Pretérito perfecto simple</i>","<b>you fell</b><br><span style='font-size:85%'>caer — to fall · tú</span>","preterito-indefinido irregular es-en"
"<b>you fell</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>caíste</b><br><span style='font-size:85%'>caer — to fall · tú</span>","preterito-indefinido irregular en-es"
"<b>cayó</b><br><i>Pretérito perfecto simple</i>","<b>he/she fell</b><br><span style='font-size:85%'>caer — to fall · él/ella/usted</span>","preterito-indefinido irregular es-en"
"<b>he/she fell</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>cayó</b><br><span style='font-size:85%'>caer — to fall · él/ella/usted</span>","preterito-indefinido irregular en-es"
"<b>caímos</b><br><i>Pretérito perfecto simple</i>","<b>we fell</b><br><span style='font-size:85%'>caer — to fall · nosotros</span>","preterito-indefinido irregular es-en"
"<b>we fell</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>caímos</b><br><span style='font-size:85%'>caer — to fall · nosotros</span>","preterito-indefinido irregular en-es"
"<b>caísteis</b><br><i>Pretérito perfecto simple</i>","<b>you all fell</b><br><span style='font-size:85%'>caer — to fall · vosotros</span>","preterito-indefinido irregular es-en"
"<b>you all fell</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>caísteis</b><br><span style='font-size:85%'>caer — to fall · vosotros</span>","preterito-indefinido irregular en-es"
"<b>cayeron</b><br><i>Pretérito perfecto simple</i>","<b>they fell</b><br><span style='font-size:85%'>caer — to fall · ellos/ellas/ustedes</span>","preterito-indefinido irregular es-en"
"<b>they fell</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>cayeron</b><br><span style='font-size:85%'>caer — to fall · ellos/ellas/ustedes</span>","preterito-indefinido irregular en-es"
"<b>busqué</b><br><i>Pretérito perfecto simple</i>","<b>I looked for</b><br><span style='font-size:85%'>buscar — to look for (search for) · yo</span>","preterito-indefinido irregular es-en"
"<b>I looked for</b><br><span style='font-size:80%'>[search for]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>busqué</b><br><span style='font-size:85%'>buscar — to look for (search for) · yo</span>","preterito-indefinido irregular en-es"
"<b>buscaste</b><br><i>Pretérito perfecto simple</i>","<b>you looked for</b><br><span style='font-size:85%'>buscar — to look for (search for) · tú</span>","preterito-indefinido irregular es-en"
"<b>you looked for</b><br><span style='font-size:80%'>[search for]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>buscaste</b><br><span style='font-size:85%'>buscar — to look for (search for) · tú</span>","preterito-indefinido irregular en-es"
"<b>buscó</b><br><i>Pretérito perfecto simple</i>","<b>he/she looked for</b><br><span style='font-size:85%'>buscar — to look for (search for) · él/ella/usted</span>","preterito-indefinido irregular es-en"
"<b>he/she looked for</b><br><span style='font-size:80%'>[search for]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>buscó</b><br><span style='font-size:85%'>buscar — to look for (search for) · él/ella/usted</span>","preterito-indefinido irregular en-es"
"<b>buscamos</b><br><i>Pretérito perfecto simple</i>","<b>we looked for</b><br><span style='font-size:85%'>buscar — to look for (search for) · nosotros</span>","preterito-indefinido irregular es-en"
"<b>we looked for</b><br><span style='font-size:80%'>[search for]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>buscamos</b><br><span style='font-size:85%'>buscar — to look for (search for) · nosotros</span>","preterito-indefinido irregular en-es"
"<b>buscasteis</b><br><i>Pretérito perfecto simple</i>","<b>you all looked for</b><br><span style='font-size:85%'>buscar — to look for (search for) · vosotros</span>","preterito-indefinido irregular es-en"
"<b>you all looked for</b><br><span style='font-size:80%'>[search for]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>buscasteis</b><br><span style='font-size:85%'>buscar — to look for (search for) · vosotros</span>","preterito-indefinido irregular en-es"
"<b>buscaron</b><br><i>Pretérito perfecto simple</i>","<b>they looked for</b><br><span style='font-size:85%'>buscar — to look for (search for) · ellos/ellas/ustedes</span>","preterito-indefinido irregular es-en"
"<b>they looked for</b><br><span style='font-size:80%'>[search for]</span><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>buscaron</b><br><span style='font-size:85%'>buscar — to look for (search for) · ellos/ellas/ustedes</span>","preterito-indefinido irregular en-es"
"<b>llegué</b><br><i>Pretérito perfecto simple</i>","<b>I arrived</b><br><span style='font-size:85%'>llegar — to arrive · yo</span>","preterito-indefinido irregular es-en"
"<b>I arrived</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>llegué</b><br><span style='font-size:85%'>llegar — to arrive · yo</span>","preterito-indefinido irregular en-es"
"<b>llegaste</b><br><i>Pretérito perfecto simple</i>","<b>you arrived</b><br><span style='font-size:85%'>llegar — to arrive · tú</span>","preterito-indefinido irregular es-en"
"<b>you arrived</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>llegaste</b><br><span style='font-size:85%'>llegar — to arrive · tú</span>","preterito-indefinido irregular en-es"
"<b>llegó</b><br><i>Pretérito perfecto simple</i>","<b>he/she arrived</b><br><span style='font-size:85%'>llegar — to arrive · él/ella/usted</span>","preterito-indefinido irregular es-en"
"<b>he/she arrived</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>llegó</b><br><span style='font-size:85%'>llegar — to arrive · él/ella/usted</span>","preterito-indefinido irregular en-es"
"<b>llegamos</b><br><i>Pretérito perfecto simple</i>","<b>we arrived</b><br><span style='font-size:85%'>llegar — to arrive · nosotros</span>","preterito-indefinido irregular es-en"
"<b>we arrived</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>llegamos</b><br><span style='font-size:85%'>llegar — to arrive · nosotros</span>","preterito-indefinido irregular en-es"
"<b>llegasteis</b><br><i>Pretérito perfecto simple</i>","<b>you all arrived</b><br><span style='font-size:85%'>llegar — to arrive · vosotros</span>","preterito-indefinido irregular es-en"
"<b>you all arrived</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>llegasteis</b><br><span style='font-size:85%'>llegar — to arrive · vosotros</span>","preterito-indefinido irregular en-es"
"<b>llegaron</b><br><i>Pretérito perfecto simple</i>","<b>they arrived</b><br><span style='font-size:85%'>llegar — to arrive · ellos/ellas/ustedes</span>","preterito-indefinido irregular es-en"
"<b>they arrived</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>llegaron</b><br><span style='font-size:85%'>llegar — to arrive · ellos/ellas/ustedes</span>","preterito-indefinido irregular en-es"
"<b>empecé</b><br><i>Pretérito perfecto simple</i>","<b>I began</b><br><span style='font-size:85%'>empezar — to begin · yo</span>","preterito-indefinido irregular es-en"
"<b>I began</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>empecé</b><br><span style='font-size:85%'>empezar — to begin · yo</span>","preterito-indefinido irregular en-es"
"<b>empezaste</b><br><i>Pretérito perfecto simple</i>","<b>you began</b><br><span style='font-size:85%'>empezar — to begin · tú</span>","preterito-indefinido irregular es-en"
"<b>you began</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>empezaste</b><br><span style='font-size:85%'>empezar — to begin · tú</span>","preterito-indefinido irregular en-es"
"<b>empezó</b><br><i>Pretérito perfecto simple</i>","<b>he/she began</b><br><span style='font-size:85%'>empezar — to begin · él/ella/usted</span>","preterito-indefinido irregular es-en"
"<b>he/she began</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>empezó</b><br><span style='font-size:85%'>empezar — to begin · él/ella/usted</span>","preterito-indefinido irregular en-es"
"<b>empezamos</b><br><i>Pretérito perfecto simple</i>","<b>we began</b><br><span style='font-size:85%'>empezar — to begin · nosotros</span>","preterito-indefinido irregular es-en"
"<b>we began</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>empezamos</b><br><span style='font-size:85%'>empezar — to begin · nosotros</span>","preterito-indefinido irregular en-es"
"<b>empezasteis</b><br><i>Pretérito perfecto simple</i>","<b>you all began</b><br><span style='font-size:85%'>empezar — to begin · vosotros</span>","preterito-indefinido irregular es-en"
"<b>you all began</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>empezasteis</b><br><span style='font-size:85%'>empezar — to begin · vosotros</span>","preterito-indefinido irregular en-es"
"<b>empezaron</b><br><i>Pretérito perfecto simple</i>","<b>they began</b><br><span style='font-size:85%'>empezar — to begin · ellos/ellas/ustedes</span>","preterito-indefinido irregular es-en"
"<b>they began</b><br><i>Pretérito perfecto simple</i><br><span style='font-size:80%'>(preterite — one completed event)</span>","<b>empezaron</b><br><span style='font-size:85%'>empezar — to begin · ellos/ellas/ustedes</span>","preterito-indefinido irregular en-es"
"Full paradigm:<br><b>ser / ir</b> — <i>to be or go (the two verbs share this paradigm)</i><br><i>Pretérito perfecto simple</i>","<table><tr><td>yo</td><td><b>fui</b></td></tr><tr><td>tú</td><td><b>fuiste</b></td></tr><tr><td>él/ella/usted</td><td><b>fue</b></td></tr><tr><td>nosotros</td><td><b>fuimos</b></td></tr><tr><td>vosotros</td><td><b>fuisteis</b></td></tr><tr><td>ellos/ellas/ustedes</td><td><b>fueron</b></td></tr></table>","preterito-indefinido fullparadigm irregular"
"Full paradigm:<br><b>tener</b> — <i>to have (possess)</i><br><i>Pretérito perfecto simple</i>","<table><tr><td>yo</td><td><b>tuve</b></td></tr><tr><td>tú</td><td><b>tuviste</b></td></tr><tr><td>él/ella/usted</td><td><b>tuvo</b></td></tr><tr><td>nosotros</td><td><b>tuvimos</b></td></tr><tr><td>vosotros</td><td><b>tuvisteis</b></td></tr><tr><td>ellos/ellas/ustedes</td><td><b>tuvieron</b></td></tr></table>","preterito-indefinido fullparadigm irregular"
"Full paradigm:<br><b>hacer</b> — <i>to do (do or make)</i><br><i>Pretérito perfecto simple</i>","<table><tr><td>yo</td><td><b>hice</b></td></tr><tr><td>tú</td><td><b>hiciste</b></td></tr><tr><td>él/ella/usted</td><td><b>hizo</b></td></tr><tr><td>nosotros</td><td><b>hicimos</b></td></tr><tr><td>vosotros</td><td><b>hicisteis</b></td></tr><tr><td>ellos/ellas/ustedes</td><td><b>hicieron</b></td></tr></table>","preterito-indefinido fullparadigm irregular"
"Full paradigm:<br><b>decir</b> — <i>to say (say or tell)</i><br><i>Pretérito perfecto simple</i>","<table><tr><td>yo</td><td><b>dije</b></td></tr><tr><td>tú</td><td><b>dijiste</b></td></tr><tr><td>él/ella/usted</td><td><b>dijo</b></td></tr><tr><td>nosotros</td><td><b>dijimos</b></td></tr><tr><td>vosotros</td><td><b>dijisteis</b></td></tr><tr><td>ellos/ellas/ustedes</td><td><b>dijeron</b></td></tr></table>","preterito-indefinido fullparadigm irregular"
"The <b>strong preterite</b> stems (thirteen, counting <i>haber</i>)","tener → tuv- · estar → estuv- · andar → anduv-<br>poder → pud- · poner → pus- · saber → sup-<br>querer → quis- · venir → vin- · haber → hub-<br>hacer → hic-/hiz- · decir → dij- · traer → traj- · conducir → conduj-","preterito-indefinido irregular pattern"
"Which preterites change stem in the <b>third person only</b>, and how?","<b>-ir</b> stem-changers, in él and ellos:<br>pedir → p<b>i</b>dió, p<b>i</b>dieron · dormir → d<b>u</b>rmió, d<b>u</b>rmieron<br>sentir → s<b>i</b>ntió · morir → m<b>u</b>rió<br><br>-ar and -er verbs do <b>not</b> stem-change in the preterite: volver → volví.","preterito-indefinido irregular pattern"
"<b>When and why</b> do you use the<br><i>Pretérito perfecto simple</i>?","A completed event, viewed as a whole. Something <i>happened</i>, and the sentence treats it as finished. This is the tense that moves a story forward.<ul><li><b>A single finished action</b> — <i>ayer comí paella.</i></li><li><b>A sequence of events</b> — <i>entré, me senté y pedí un café.</i></li><li><b>Stated duration or repetition count</b> — <i>viví allí tres años</i>; <i>lo llamé cinco veces.</i> A bounded span is still bounded.</li><li><b>Start or end of something</b> — <i>empezó a llover.</i></li></ul>Not about how long, but about whether the event is presented as a completed whole. Contrast with the imperfect: preterite = photograph, imperfect = film running.","preterito-indefinido usage concept"
"<b>Tricks and tips</b> for the<br><i>Pretérito perfecto simple</i>","<ul><li><b>-er and -ir are completely identical</b> in this tense.</li><li><b>Accents carry the meaning</b>: <i>hablo</i> (I speak) vs <i>habló</i> (he spoke); <i>hable</i> (subj.) vs <i>hablé</i> (I spoke).</li><li><b>Strong preterites take no accents</b>: <i>tuve, tuvo</i> — never <i>tuvé, tuvó</i>. Reliable giveaway.</li><li><b>-j- stems drop the i</b>: dijeron, trajeron, condujeron — not <i>dijieron</i>.</li><li><i>hablamos</i> / <i>vivimos</i> are ambiguous with the present; <i>comimos</i> is not.</li><li>Learn the strong stems as a block — they recur unchanged in the <b>imperfect subjunctive</b>. One memorisation, two tenses.</li></ul>","preterito-indefinido tips concept"
