#separator:comma
#html:true
#notetype:Basic
#deck:Spanish::01 Presente de indicativo
#columns:Front,Back,Tags
#tags column:3
"Endings at a glance:<br><i>Presente de indicativo</i>","<b>-ar</b>: o · as · a · amos · áis · an<br><b>-er</b>: o · es · e · emos · éis · en<br><b>-ir</b>: o · es · e · <b>imos</b> · <b>ís</b> · en","presente-indicativo endings"
"<b>you follow</b><br><span style='font-size:80%'>[follow or continue]</span><br><i>Presente de indicativo</i>","<b>sigues</b><br><span style='font-size:85%'>seguir — to follow (follow or continue) · tú</span>","presente-indicativo irregular en-es"
"<b>sigue</b><br><i>Presente de indicativo</i>","<b>he/she follows</b><br><span style='font-size:85%'>seguir — to follow (follow or continue) · él/ella/usted</span>","presente-indicativo irregular es-en"
"<b>he/she follows</b><br><span style='font-size:80%'>[follow or continue]</span><br><i>Presente de indicativo</i>","<b>sigue</b><br><span style='font-size:85%'>seguir — to follow (follow or continue) · él/ella/usted</span>","presente-indicativo irregular en-es"
"<b>seguimos</b><br><i>Presente de indicativo</i>","<b>we follow</b><br><span style='font-size:85%'>seguir — to follow (follow or continue) · nosotros</span>","presente-indicativo irregular es-en"
"<b>we follow</b><br><span style='font-size:80%'>[follow or continue]</span><br><i>Presente de indicativo</i>","<b>seguimos</b><br><span style='font-size:85%'>seguir — to follow (follow or continue) · nosotros</span>","presente-indicativo irregular en-es"
"<b>seguís</b><br><i>Presente de indicativo</i>","<b>you all follow</b><br><span style='font-size:85%'>seguir — to follow (follow or continue) · vosotros</span>","presente-indicativo irregular es-en"
"<b>you all follow</b><br><span style='font-size:80%'>[follow or continue]</span><br><i>Presente de indicativo</i>","<b>seguís</b><br><span style='font-size:85%'>seguir — to follow (follow or continue) · vosotros</span>","presente-indicativo irregular en-es"
"<b>siguen</b><br><i>Presente de indicativo</i>","<b>they follow</b><br><span style='font-size:85%'>seguir — to follow (follow or continue) · ellos/ellas/ustedes</span>","presente-indicativo irregular es-en"
"<b>they follow</b><br><span style='font-size:80%'>[follow or continue]</span><br><i>Presente de indicativo</i>","<b>siguen</b><br><span style='font-size:85%'>seguir — to follow (follow or continue) · ellos/ellas/ustedes</span>","presente-indicativo irregular en-es"
"Full paradigm:<br><b>ser</b> — <i>to be (identity, essence)</i><br><i>Presente de indicativo</i>","<table><tr><td>yo</td><td><b>soy</b></td></tr><tr><td>tú</td><td><b>eres</b></td></tr><tr><td>él/ella/usted</td><td><b>es</b></td></tr><tr><td>nosotros</td><td><b>somos</b></td></tr><tr><td>vosotros</td><td><b>sois</b></td></tr><tr><td>ellos/ellas/ustedes</td><td><b>son</b></td></tr></table>","presente-indicativo fullparadigm irregular"
"Full paradigm:<br><b>estar</b> — <i>to be (state, location)</i><br><i>Presente de indicativo</i>","<table><tr><td>yo</td><td><b>estoy</b></td></tr><tr><td>tú</td><td><b>estás</b></td></tr><tr><td>él/ella/usted</td><td><b>está</b></td></tr><tr><td>nosotros</td><td><b>estamos</b></td></tr><tr><td>vosotros</td><td><b>estáis</b></td></tr><tr><td>ellos/ellas/ustedes</td><td><b>están</b></td></tr></table>","presente-indicativo fullparadigm irregular"
"Full paradigm:<br><b>ir</b> — <i>to go</i><br><i>Presente de indicativo</i>","<table><tr><td>yo</td><td><b>voy</b></td></tr><tr><td>tú</td><td><b>vas</b></td></tr><tr><td>él/ella/usted</td><td><b>va</b></td></tr><tr><td>nosotros</td><td><b>vamos</b></td></tr><tr><td>vosotros</td><td><b>vais</b></td></tr><tr><td>ellos/ellas/ustedes</td><td><b>van</b></td></tr></table>","presente-indicativo fullparadigm irregular"
"Full paradigm:<br><b>haber</b> — <i>to have (auxiliary — used with a participle)</i><br><i>Presente de indicativo</i>","<table><tr><td>yo</td><td><b>he</b></td></tr><tr><td>tú</td><td><b>has</b></td></tr><tr><td>él/ella/usted</td><td><b>ha</b></td></tr><tr><td>nosotros</td><td><b>hemos</b></td></tr><tr><td>vosotros</td><td><b>habéis</b></td></tr><tr><td>ellos/ellas/ustedes</td><td><b>han</b></td></tr></table>","presente-indicativo fullparadigm irregular"
"Full paradigm:<br><b>tener</b> — <i>to have (possess)</i><br><i>Presente de indicativo</i>","<table><tr><td>yo</td><td><b>tengo</b></td></tr><tr><td>tú</td><td><b>tienes</b></td></tr><tr><td>él/ella/usted</td><td><b>tiene</b></td></tr><tr><td>nosotros</td><td><b>tenemos</b></td></tr><tr><td>vosotros</td><td><b>tenéis</b></td></tr><tr><td>ellos/ellas/ustedes</td><td><b>tienen</b></td></tr></table>","presente-indicativo fullparadigm irregular"
"Yo-go verbs: give the <b>yo</b> form<br>tener · venir · poner · salir · hacer · decir · traer · oír · caer","tengo · vengo · pongo · salgo · hago · digo · traigo · oigo · caigo","presente-indicativo irregular pattern"
"Verbs in <i>-cer / -cir</i> after a vowel: what happens in the <b>yo</b> form?","<b>-zco</b><br>conocer → conozco · parecer → parezco<br>conducir → conduzco · traducir → traduzco · ofrecer → ofrezco<br><br><b>Exceptions:</b> <i>hacer</i> → <b>hago</b>, <i>decir</i> → <b>digo</b> (and their compounds: deshago, contradigo). <i>Cocer</i> → <b>cuezo</b>, being a stem-changer instead.","presente-indicativo irregular pattern"
"<b>haber</b> in the present: what is missing from the paradigm he/has/ha/hemos/habéis/han?","The <b>impersonal</b> form <b>hay</b> = 'there is / there are'.<br><br><i>Hay un problema. Hay tres libros.</i> (invariable — never <i>han</i> for plurals in standard usage)<br><br>The paradigm above is the <b>auxiliary</b>: <i>he hablado</i>. Plain <i>ha</i> does not mean 'there is'.","presente-indicativo irregular"
"<b>When and why</b> do you use the<br><i>Presente de indicativo</i>?","<ul><li><b>Current state or action</b> — <i>vivo en Bath.</i> Spanish does not need the progressive here.</li><li><b>Habit</b> — <i>como a las dos.</i></li><li><b>General truth</b> — <i>el agua hierve a cien grados.</i></li><li><b>Near future</b> — <i>mañana voy a Madrid.</i> Very common in speech.</li><li><b>Vivid narration of the past</b> — <i>en 1492 Colón llega a América.</i></li><li><b>Offers as questions</b> — <i>¿te ayudo?</i> = shall I help you?</li></ul><br>Reserve <i>estoy hablando</i> for action genuinely in progress right now. <i>Trabajo en un banco</i> = I work in a bank; <i>estoy trabajando</i> = I'm working at this moment.","presente-indicativo usage concept"
"<b>Tricks and tips</b> for the<br><i>Presente de indicativo</i>","<ul><li><b>-er and -ir are the same verb</b> except nosotros/vosotros (comemos/vivimos, coméis/vivís).</li><li><b>The boot</b>: stem changes hit every person except nosotros/vosotros. Same shape in the present subjunctive and commands.</li><li>Stem changes are <b>unpredictable from the infinitive</b> — <i>contar</i> changes, <i>montar</i> doesn't. Learn per verb.</li><li><b>The yo form is the master key</b>: it builds the whole present subjunctive and all commands.</li><li><i>Tener, venir, decir</i> are doubly irregular — yo-go <b>and</b> stem-changing.</li></ul>","presente-indicativo tips concept"
